# These non-bird classes are included in training, but ignored in analysis (see ignore.txt)
Canine,Canine
Chipmunk,Chipmunk
Cicada,Cicada
Noise,Noise
Red Squirrel,Red Squirrel
Spring Peeper,Spring Peeper

# These bird species are included in the provided model
Acadian Flycatcher,ACFL
Alder Flycatcher,ALFL
American Bittern,AMBI
American Crow,AMCR
American Goldfinch,AMGO
American Kestrel,AMKE
American Pipit,AMPI
American Redstart,AMRE
American Robin,AMRO
American Three-toed Woodpecker,ATTW
American Tree Sparrow,ATSP
American Woodcock,AMWO
Baltimore Oriole,BAOR
Bank Swallow,BANS
Barn Owl,BANO
Barn Swallow,BARS
Barred Owl,BADO
Bay-breasted Warbler,BBWA
Bell's Vireo,BEVI
Belted Kingfisher,BEKI
Black-and-white Warbler,BAWW
Black-backed Woodpecker,BBWO
Black-billed Cuckoo,BBCU
Blackburnian Warbler,BLBW
Black-capped Chickadee,BCCH
Black-crowned Night Heron,BCNH
Blackpoll Warbler,BLPW
Black-throated Blue Warbler,BTBW
Black-throated Gray Warbler,BTGW
Black-throated Green Warbler,BTNW
Blue Jay,BLJA
Blue-gray Gnatcatcher,BGGN
Blue-headed Vireo,BHVI
Blue-winged Warbler,BWWA
Bobolink,BOBO
Bohemian Waxwing,BOWA
Boreal Owl,BOOW
Broad-winged Hawk,BWHA
Brown Creeper,BRCR
Brown Thrasher,BRTH
Brown-headed Cowbird,BHCO
Canada Goose,CANG
Canada Jay,CAJA
Canada Warbler,CAWA
Cape May Warbler,CMWA
Carolina Wren,CARW
Cedar Waxwing,CEDW
Cerulean Warbler,CERW
Chestnut-sided Warbler,CSWA
Chipping Sparrow,CHSP
Chuck-will's-widow,CWWI
Clay-colored Sparrow,CCSP
Cliff Swallow,CLSW
Common Grackle,COGR
Common Loon,COLO
Common Nighthawk,CONI
Common Raven,CORA
Common Redpoll,CORE
Common Yellowthroat,COYE
Connecticut Warbler,CONW
Cooper's Hawk,COHA
Dark-eyed Junco,DEJU
Dickcissel,DICK
Double-crested Cormorant,DCCO
Downy Woodpecker,DOWO
Eastern Bluebird,EABL
Eastern Kingbird,EAKI
Eastern Meadowlark,EAME
Eastern Phoebe,EAPH
Eastern Screech-Owl,EASO
Eastern Towhee,EATO
Eastern Whip-poor-will,EWPW
Eastern Wood-Pewee,EAWP
Eurasian Collared-Dove,EUCD
European Starling,EUST
Evening Grosbeak,EVGR
Field Sparrow,FISP
Fox Sparrow,FOSP
Golden-crowned Kinglet,GCKI
Golden-winged Warbler,GWWA
Grasshopper Sparrow,GRSP
Gray Catbird,GRCA
Gray Flycatcher,GRFL
Gray-cheeked Thrush,GCTH
Great Blue Heron,GBHE
Great Crested Flycatcher,GCFL
Great Egret,GREG
Great Gray Owl,GGOW
Great Horned Owl,GHOW
Hairy Woodpecker,HAWO
Henslow's Sparrow,HESP
Hermit Thrush,HETH
Herring Gull,HERG
Hooded Warbler,HOWA
Horned Lark,HOLA
House Finch,HOFI
House Sparrow,HOSP
House Wren,HOWR
